Team_ID,Average_National_TV_Viewers,,,,,
1,13.8M,,,,,
2,6.8M,,,,,
3,14.5M,,,,,
4,20.9M,,,,,
5,6.8M,,,,,
6,15.7M,,,,,
7,19.9M,,,,,
8,11.3M,,,,,
9,25.5M,,,,,
10,18.1M,,,,,
11,27M,,,,,
12,22.4 M,,,,,
13,7.9M,,,,,
14,13.3M,,,,,
15,19M,,,,,
16,20.1M,,,,,
17,16.8M,,,,,
18,14.5M,,,,,
19,20.5 M,,,,,
20,19.1M,,,,,
21,21.7M,,,,,
22,17.9M,,,,,
23,10.9M,,,,,
24,25.6M,,,,,
25,8.3M,,,,,
26,18.8M,,,,,
27,14.5M,,,,,
28,18.4M,,,,,
29,19.8M,,,,,
30,20.6M,,,,,
31,14.9M,,,,,
32,16.2M,,,,,